Neighborhood,Adress,Apartment,House,Price,Rooms,Baths,Sq Ft,Sq Ft Lot,Year Built,View,Fire Place,Levels,Attached Garage,Total Parking Space,Pool
Angelino-Heights,4260 Don Mariano Dr,0,1,1165000.0,3.0,3.0,1980.0,6098.0,1951.0,1,1,2,1,2.0,0
Angelino-Heights,10554 Valley Spring Ln Unit 4,1,0,780000.0,2.0,2.0,1429.0,1429.0,2004.0,0,1,3,1,2.0,0
Angelino-Heights,4589 Via Marisol Unit 257,1,0,565000.0,2.0,2.0,1042.0,1042.0,1981.0,1,0,3,0,2.0,0
Angelino-Heights,3836 Wellington Rd,0,1,1045000.0,3.0,2.0,1534.0,6098.0,1941.0,1,1,1,0,2.0,0
Angelino-Heights,4295 Via Arbolada Unit 313,1,0,725000.0,2.0,2.0,1044.0,1044.0,1982.0,1,1,1,0,2.0,1
Angelino-Heights,4482 Dudley Dr,0,1,525000.0,3.0,1.0,1387.0,9148.0,1924.0,1,0,2,0,4.0,0
Angelino-Heights,2945 Warwick Ave,0,1,755000.0,2.0,2.0,1016.0,4792.0,1924.0,0,0,1,1,2.0,0
Angelino-Heights,3364 Bennett Dr,0,1,15000.0,3.0,2.0,1732.0,6534.0,1932.0,1,0,1,0,0.0,0
Angelino-Heights,1776 S Hayworth Ave,0,1,1125000.0,2.0,2.0,1295.0,5663.0,1938.0,1,1,1,0,2.0,0
Angelino-Heights,637 Hendricks Ave,0,1,655000.0,2.0,1.0,1175.0,5227.0,1930.0,0,1,1,0,2.0,0
Angelino-Heights,5947 Pickford St,0,1,1699000.0,3.0,4.0,2178.0,9148.0,2022.0,1,0,3,1,2.0,0
Angelino-Heights,4141 Folsom St,0,1,675000.0,3.0,1.0,1104.0,4356.0,1964.0,0,0,1,0,2.0,0
Angelino-Heights,320 Mchenry Rd Unit 4,1,0,590000.0,2.0,3.0,1356.0,1356.0,1979.0,1,1,3,1,2.0,0
Angelino-Heights,519 S Orange Grove Blvd Unit 300,1,0,2200000.0,2.0,3.0,3141.0,3141.0,1988.0,0,1,1,0,4.0,0
Angelino-Heights,4261 S Hobart Blvd,0,1,715000.0,3.0,2.0,1196.0,5227.0,1913.0,1,1,1,0,0.0,0
Angelino-Heights,6261 Condon Ave,0,1,1305100.0,4.0,3.0,1860.0,6970.0,1948.0,0,1,1,0,2.0,0
Angelino-Heights,2634 Guirado St,0,1,689000.0,3.0,1.0,1080.0,2614.0,1958.0,0,0,1,0,0.0,0
